pixel_x,pixel_y,square_x,square_y
1007.2978630232965,566.3780121612493,14.0,5.0
982.7376448214598,520.0914470885571,14.0,6.0
960.0666741736104,482.3064960088084,14.0,7.0
1351.14091784901,1077.4194755148515,15.0,0.0
1301.0758576683431,933.8366614118061,15.0,1.0
1240.619935940745,805.3678277406602,15.0,2.0
1185.8317568751092,704.2930836023323,15.0,3.0
1136.711320471436,625.8893101118537,15.0,4.0
1096.092498060706,568.2672597152367,15.0,5.0
1063.9752896429195,521.9806946425446,15.0,6.0
1034.6919525561143,485.14036733978946,15.0,7.0
1438.990929109426,1019.7974251182345,16.0,0.0
1389.8704927057527,901.7194529940195,16.0,1.0
1329.4145709781546,790.2538473087608,16.0,2.0
1269.9032730275503,698.6253409403699,16.0,3.0
1216.0597177389084,624.9446863348599,16.0,4.0
1168.8285288892223,569.2118834922305,16.0,5.0
1132.932825363461,524.8145659735256,16.0,6.0
1102.704864499662,487.02961489377697,16.0,7.0
1453.1602857643318,869.6022445762331,17.0,1.0
1394.5936115907211,776.0844906538549,17.0,2.0
1336.0269374171107,693.9022220554014,17.0,3.0
1284.0726296824562,624.9446863348599,17.0,4.0
1237.7860646097638,570.1565072692242,17.0,5.0
1197.167242199034,527.6484373045068,17.0,6.0
1448.437166879363,759.081262667968,18.0,2.0
1392.7043640367338,686.3452318394517,18.0,3.0
1337.9161849710981,624.9446863348599,18.0,4.0
1291.6296198984057,572.0457548232116,18.0,5.0
1251.9554212646697,533.3161799664691,18.0,6.0
1438.0463053324322,679.7328654004956,19.0,3.0
1388.925868928759,625.8893101118537,19.0,4.0
1337.9161849710981,573.9350023771991,19.0,5.0
1300.1312338913492,537.094675074444,19.0,6.0
1469.218889973225,674.0651227385333,20.0,3.0
1425.766196231514,624.0000625578662,20.0,4.0
1381.3688787128092,577.713497485174,20.0,5.0
1342.6393038560666,538.9839226284315,20.0,6.0
1458.8280284262942,619.2769436728976,21.0,4.0
1416.3199584615768,575.8242499311865,21.0,5.0
1379.4796311588218,542.7624177364064,21.0,6.0
1217.631997097315,1139.3551660285766,14.0,0.0
1176.3087731151315,975.8589320121113,14.0,1.0
1122.4089157470662,827.6343242499313,14.0,2.0
